"Date","Volume","Cash","Trades","Bar Size","High","Low","Open","Close","Delta T/D","Delta Aggressor","H/L Side","O/C Side","O/C Size","Max Volume","M/V Price","M/V Trades","M/V Delta T/D","M/V Delta Aggressor","Max Trade","Hidden Volume","TPO High","TPO Low","COT High","COT Low","Max Delta T/D","Max Delta Aggressor"
"2023-07-01 00:00:00","590967131","265689466081","4020165","232","459,6","436,5","443","457,8","-4678647","-7063383","1","1","148","9706195","454,2","60150","-55695","-280591","2000000","771893285","459,3","445,8","-3288175","-2191316","-3555911","-3549157"
"2023-06-01 00:00:00","731088382","316929463540","5124890","276","444,3","416,8","418,5","442,9","1423834","3749720","1","1","244","11814065","436,2","72448","1369235","1140393","1000000","983292778","438,2","427,1","1838010","3752428","1369235","1268783"
"2023-05-01 00:00:00","804102554","332679406493","5804764","194","423","403,7","416,1","418,4","-1416346","-1128424","1","1","23","18990314","411","127018","-1575700","-1701960","-2000000","925497225","417,7","409,2","-1214602","-456859","-2089195","-1975681"
"2023-04-01 00:00:00","677542984","278160262145","4701686","126","416,3","403,8","409,7","416,1","-7379072","-4649358","1","1","64","13713901","412,4","85422","-1753413","-1980489","-1000000","694545452","414,5","408,6","614630","-1126765","-1753413","-1980489"
"2023-03-01 00:00:00","1068878836","422309142032","7472958","295","409,9","380,5","397,5","409,8","-14184424","-10239356","1","1","123","13699200","396,3","48964","3217340","3389868","2483100","1388112939","400","387,7","5268","-12046152","-3350078","-3427840"
"2023-02-01 00:00:00","737152356","299780207366","4925745","248","418,3","393,6","405,3","394,8","-9530474","-8646196","-1","-1","105","8492049","412,4","57030","-314993","-352233","1200000","852851993","417,2","401","-6950564","-536958","-1413520","-1505276"
"2023-01-01 00:00:00","731192427","288024057604","4546734","305","408,2","377,8","385,8","405,1","4567017","4225499","1","1","193","7107399","397,8","27699","-1743555","-1794153","2000000","873186085","405","388,7","3798569","3736500","2603442","2551048"
"2022-12-01 00:00:00","784365906","306751651141","4757490","394","414,1","374,8","408","383,3","-3771604","-721348","-1","-1","247","7495110","382,2","45359","-31756","152526","-2100000","964471052","397","374,8","-2745899","-2924223","4149722","4171210"
"2022-11-01 00:00:00","803006644","313163254358","4699936","400","408,7","368,8","388","408","7645532","8161972","1","1","200","10629685","394,7","40759","3726021","3691351","2640577","960554444","403,4","382,4","-6485","7499747","3726021","3691351"
"2022-10-01 00:00:00","990372747","367216620156","5683510","423","390,3","348,1","357,7","386,7","-7287335","-5534119","1","1","290","8057749","366,6","40733","-878783","-549719","-2299526","1178186230","376,8","356,8","-2845608","-3357431","-2859890","-2767428"
"2022-09-01 00:00:00","877064632","335680124422","5207690","581","415","357","392,8","357,9","-11331826","-3462278","-1","-1","349","5990123","362,8","26271","-1637285","-1503143","-1255714","1104306726","392,9","357","-1831839","-1564784","-1688648","-1715392"
"2022-08-01 00:00:00","692081957","287100214104","4302727","393","431,7","392,5","411,1","393,2","-7114053","-3886447","-1","-1","179","9216287","413,2","56416","-246117","-219947","1000000","729064209","426,6","406,8","2126414","13166","1313937","1279592"
"2022-07-01 00:00:00","655914252","255045020100","4195033","421","413","371","374,4","411,5","-6932028","-3059328","1","1","371","5886836","384,2","39174","-397962","-457272","-1286535","757985851","397,9","378,6","1462835","-496351","-1334563","-1299893"
"2022-06-01 00:00:00","824537587","319663192905","5412352","565","418,6","362,2","414,1","377,4","-10708243","-4891723","-1","-1","367","6993309","377,3","39494","912613","826707","-1000000","1076143999","392,8","364,1","-4178306","-153393","-1271073","-1103113"
"2022-05-01 00:00:00","978524717","394048959326","7490519","493","429,7","380,5","414","414,6","-7011453","6889913","-1","1","6","6094656","401,1","49528","-171794","20076","-1000000","1324925472","411,6","387,2","8057124","1543189","-1222314","-1230952"
"2022-04-01 00:00:00","754390379","329274787570","5255663","467","457,8","411,2","453,8","413,4","3083085","10074251","-1","-1","404","5545389","445","37364","124239","353257","-1700000","1030159023","457,1","427","8275624","-4097811","-3136781","-3110021"
"2022-03-01 00:00:00","806989666","352677170021","6486585","486","462,1","413,6","436,5","453,2","-8200970","-11751828","1","1","167","4117533","425,5","23735","-1303927","-1249047","-1300000","1371891839","445,3","415,9","-2291672","-3939193","-2259929","-2237393"
"2022-02-01 00:00:00","736615457","324757499296","6153412","481","458,1","410,1","450","436,7","1621165","-5199037","-1","-1","133","6241930","450","55368","142210","106196","-1400000","1460354111","453","431","-1681265","4788399","-2601922","-2638938"
"2022-01-01 00:00:00","765011239","345232658307","7103986","1204","485","364,7","476,3","449","4066907","-757561","-1","-1","273","5478330","468,4","18094","-1461146","-3106110","1100000","1577959670","479,9","439","-360927","5129717","2602220","-3106110"
"2021-12-01 00:00:00","657540943","305395166092","4995134","302","479","448,9","458,5","475,2","-11096169","-12729845","1","1","167","8476211","468,3","64642","-915435","-602727","1730000","1233956118","472,1","454,8","2506871","-5755804","3515591","3572543"
"2021-11-01 00:00:00","494289747","230021333203","3566586","183","473,5","455,3","459,7","457,4","-518655","-6400665","-1","-1","23","9130779","466,9","62266","-507423","-772361","-2000000","806855002","470,4","462,6","-2911876","-3530734","2413780","-2224246"
